id	sexo	centro	estudios	hábitat	estupadr	estumadr	paga	numher	edad	califest	lect	cine	fútbol	conciert	vj	univ	gustcine	tipocine	violen	impdin	impest	ingr	físico	depor
70	1	1	2	2	3	2	25	1	18	5	10	6	0	11	39	1	2	3	2	5	3	3	4	3
71	2	1	2	1	2	2	20	3	16	7	20	8	0	3	18	1	2	1	1	3	4	2	4	1
72	2	1	3	1	2	2	29	1	15	5	21	12	1	3	18	2	2	1	1	3	2	2	5	2
73	1	1	2	2	4	3	30	7	18	7	2	14	8	2	59	1	3	1	1	5	4	6	2	5
74	2	2	2	2	3	3	25	2	17	6	22	18	0	0	16	1	2	1	1	3	4	2	5	1
75	1	1	1	2	4	2	22	2	12	5	5	12	0	8	50	1	2	2	1	3	2	3	1	2
76	2	1	3	1	2	2	23	3	15	6	10	24	3	15	24	1	3	4	1	2	4	2	5	3
77	1	1	1	2	3	4	25	2	13	5	13	6	0	12	17	2	2	3	1	3	2	3	1	2
78	2	2	1	1	2	3	30	1	14	7	17	12	4	24	25	9	2	1	1	3	3	2	4	4
79	1	1	3	2	3	3	25	4	20	6	19	24	7	15	20	2	2	2	1	4	2	3	4	5
80	1	1	1	2	2	2	10	3	13	7	24	36	8	3	5	9	1	2	1	4	4	2	1	5
81	1	1	1	2	3	3	10	4	13	7	18	37	1	0	22	1	3	3	1	4	4	2	1	4
82	1	1	3	2	3	2	8	4	16	6	21	26	8	3	19	1	3	3	2	4	4	3	3	4
83	2	1	3	2	4	2	6	3	15	7	12	48	0	12	24	2	3	1	1	1	2	5	4	1
84	1	1	2	1	1	3	7	2	17	5	6	20	8	6	39	1	1	1	1	2	2	2	3	5
85	2	1	1	2	3	2	11	3	14	5	12	50	0	5	21	1	3	1	1	1	3	3	4	1
86	2	2	2	2	4	2	12	2	18	6	21	35	1	24	18	1	2	4	1	2	4	5	5	2
87	1	1	3	2	2	3	14	1	16	8	18	30	4	0	20	2	2	3	2	4	4	9	3	4
88	1	2	2	1	1	2	16	2	16	8	18	40	7	6	17	1	1	3	2	4	4	2	3	5
89	2	1	2	2	3	4	10	3	15	7	13	60	0	13	25	1	1	1	1	3	4	3	5	1
90	1	1	2	2	3	2	15	3	16	6	7	5	2	4	50	1	2	1	1	4	4	3	3	5
91	1	2	2	1	2	2	8	3	15	6	14	20	4	2	19	1	1	3	1	4	4	2	2	5
92	2	1	3	1	2	2	6	4	18	8	16	30	3	24	20	2	2	1	1	2	4	9	5	3
93	2	2	2	1	2	2	10	5	16	9	9	70	3	7	46	1	1	1	1	1	4	9	4	3
94	2	1	2	1	3	2	9	3	15	7	5	10	2	5	49	1	2	1	1	4	4	2	4	3
95	2	1	3	1	1	2	12	4	16	8	5	55	0	13	52	2	3	1	1	2	3	2	4	1
96	1	1	2	1	2	2	8	2	16	7	15	45	4	19	20	1	1	3	2	2	4	3	4	5
97	2	2	2	1	2	2	12	2	16	4	19	30	0	12	17	1	2	2	1	2	2	2	5	1
98	1	1	1	2	4	4	10	2	14	7	16	43	5	6	22	9	1	2	1	3	3	5	2	5
99	2	1	3	2	4	2	15	1	17	6	18	52	2	26	18	2	3	1	1	2	2	9	5	2
100	1	1	3	1	2	1	10	5	18	7	8	48	4	3	58	2	3	2	1	3	3	3	4	4
101	1	2	2	2	2	2	15	2	15	8	10	26	6	0	39	1	3	3	2	5	4	2	2	5
102	2	2	2	1	2	2	20	2	17	6	2	12	2	1	59	1	2	1	1	5	4	2	5	2
103	1	1	3	2	3	3	25	3	18	7	9	26	3	5	40	2	3	3	1	3	3	4	3	4
104	1	2	2	1	2	2	18	2	16	3	11	24	4	6	11	2	3	3	2	5	1	2	3	4
105	2	1	3	2	3	4	30	2	15	6	23	36	0	7	18	1	2	1	1	5	4	4	4	1
106	2	1	2	1	2	1	30	1	17	7	21	26	3	3	16	1	2	1	1	5	4	2	4	2
107	2	1	1	2	3	3	20	2	12	6	24	10	7	20	17	1	2	2	1	5	4	3	2	4
108	2	1	2	2	2	2	22	1	16	5	9	10	0	10	31	1	2	1	1	4	2	2	5	1
109	1	1	2	1	1	2	30	6	17	8	6	12	1	5	53	1	2	1	1	3	4	2	3	4
110	1	1	2	2	3	3	25	1	18	5	10	6	0	11	17	1	2	3	2	5	3	3	3	3
111	2	1	2	1	2	2	20	3	16	7	20	8	2	3	18	1	2	2	1	5	4	2	5	3
112	2	1	3	1	2	2	29	1	15	5	21	12	1	3	18	2	2	1	1	4	2	2	5	3
113	1	1	2	2	4	4	30	7	18	7	2	14	1	2	57	1	3	2	1	5	4	5	3	5
114	2	2	2	2	3	3	25	2	17	6	22	18	3	0	11	1	2	1	1	2	4	9	5	3
115	1	1	1	2	3	3	22	2	12	5	5	12	2	8	59	2	2	2	1	3	1	4	1	5
116	2	1	3	1	2	2	23	3	15	6	10	24	3	15	15	2	2	1	1	5	2	9	3	2
117	1	1	1	2	3	4	25	2	13	5	13	6	5	12	17	1	2	3	1	5	3	3	1	4
118	2	2	1	1	2	2	30	1	14	7	17	12	0	24	17	1	2	1	1	2	4	2	5	1
119	1	1	3	2	2	3	25	4	20	6	19	24	7	15	20	2	1	3	2	4	3	2	4	5
120	1	1	1	2	3	3	10	3	13	7	24	36	8	3	17	9	3	2	1	4	4	3	1	4
121	2	2	1	2	3	3	11	4	13	7	18	37	0	0	22	1	3	2	1	3	2	3	3	1
122	1	1	3	2	3	3	8	4	16	6	21	26	0	3	19	2	3	3	1	4	2	4	2	1
123	2	1	3	2	2	3	6	3	15	7	12	48	0	12	24	2	3	1	1	3	2	2	5	1
124	1	1	2	2	3	4	7	2	17	5	6	20	0	6	52	1	2	3	2	3	4	3	2	5
125	2	1	1	2	3	3	11	3	14	5	12	50	1	5	21	1	3	1	1	2	4	3	4	2
126	2	2	2	2	4	4	12	2	18	6	21	35	1	24	18	1	2	1	1	2	4	6	5	1
127	2	1	3	2	3	4	15	1	16	8	18	30	0	0	20	1	2	1	1	2	5	4	4	1
128	1	2	2	1	1	2	16	2	16	8	18	40	3	6	17	2	3	2	1	3	2	2	4	5
129	2	2	2	2	3	2	10	3	15	7	13	60	0	13	25	1	3	1	1	2	1	3	5	1
130	1	1	2	2	3	3	15	3	16	6	7	5	2	4	39	1	2	3	2	3	1	4	3	4
131	1	2	1	2	3	4	9	3	15	6	14	20	0	2	19	2	3	3	2	4	3	3	1	3
132	2	1	3	1	2	1	6	4	18	8	16	30	0	24	20	2	3	1	1	2	3	2	5	1
133	2	2	2	1	1	2	10	5	16	9	9	70	3	7	37	1	3	1	1	1	5	2	5	3
134	2	2	2	2	3	2	9	3	15	7	5	10	0	5	52	1	2	1	1	2	5	3	5	1
135	2	1	3	1	1	2	13	4	16	8	5	55	0	13	56	2	2	1	1	3	4	2	4	1
136	1	1	2	1	2	1	8	2	16	7	15	45	4	19	20	1	2	1	1	2	4	2	3	5
137	2	1	3	2	3	3	12	2	16	4	19	30	1	12	17	1	3	2	1	2	2	4	4	4
138	2	1	1	2	4	3	10	2	14	7	16	43	0	6	22	1	2	1	1	2	4	3	4	1
139	2	1	3	2	3	3	15	1	17	6	18	52	0	26	18	2	3	1	1	2	2	3	5	1
140	1	1	3	2	3	3	11	5	18	7	8	48	0	3	48	2	1	4	1	4	2	3	3	3
141	1	2	2	2	3	3	15	2	15	8	10	26	6	0	39	1	3	3	2	5	4	3	3	5
142	2	2	2	1	2	2	20	2	17	6	2	12	3	1	49	1	2	3	2	5	4	2	4	3
143	2	1	3	2	2	2	25	3	18	7	9	26	0	5	39	2	2	1	1	3	4	2	5	1
144	1	2	2	2	3	2	19	2	16	3	11	24	8	6	13	1	2	1	1	5	2	3	4	5
145	2	1	3	2	2	2	30	2	15	6	23	36	0	7	19	1	2	1	1	4	4	2	5	1
146	2	1	2	1	2	2	30	1	17	7	21	26	6	3	17	1	2	1	1	2	4	2	5	5
147	2	1	1	2	4	3	21	2	12	6	24	10	0	20	10	9	2	2	2	4	9	5	3	1
148	2	1	2	2	2	3	22	1	16	5	9	10	0	10	45	1	2	1	1	3	2	2	4	1
149	1	1	2	2	4	4	30	6	17	8	6	12	2	5	56	2	3	3	1	4	5	5	2	3
150	2	1	2	2	3	3	25	1	18	5	10	6	0	11	29	2	2	1	1	4	2	4	5	1
151	2	1	2	1	2	2	23	3	16	7	20	8	0	3	17	1	2	1	1	4	4	3	5	1
152	2	1	3	2	4	4	29	1	15	5	21	12	1	3	19	1	2	1	1	3	3	5	4	5
153	1	1	3	2	4	4	30	7	18	7	2	14	8	2	53	2	2	3	2	5	4	5	4	5
154	2	2	2	2	2	3	23	2	17	6	22	18	1	0	17	1	2	1	1	2	4	2	5	3
155	1	1	1	2	4	4	22	2	12	5	5	12	1	8	57	1	3	2	1	4	3	4	1	4
156	2	1	3	2	3	3	21	3	15	6	10	24	1	15	14	2	2	1	1	3	3	3	1	2
157	2	1	1	2	3	2	25	2	13	5	13	6	2	12	16	1	2	1	1	2	4	3	3	1
158	2	2	1	1	2	1	30	1	14	7	17	12	6	24	18	1	2	1	1	2	4	2	5	4
159	1	1	3	2	2	2	25	4	20	6	19	24	7	15	21	2	3	2	1	5	2	2	3	5
160	2	1	1	2	2	2	11	3	13	7	24	36	0	3	9	2	2	2	1	3	4	2	2	1
161	2	1	2	1	1	1	30	1	17	7	17	37	3	0	15	1	2	1	2	2	4	3	4	1
162	2	1	1	2	3	3	21	2	12	6	18	26	0	3	17	9	2	2	1	4	4	3	2	1
163	2	1	2	2	2	3	22	1	16	5	20	48	0	12	16	1	2	1	1	5	3	2	5	1
164	1	1	2	2	2	2	30	6	17	8	14	20	2	6	12	1	2	3	2	4	5	2	4	4
165	2	1	2	2	3	2	25	1	18	5	14	50	0	5	14	1	3	1	1	4	3	3	5	1
166	2	1	2	1	2	2	23	3	16	7	17	35	1	24	15	1	2	1	1	3	4	2	5	2
167	2	1	3	2	4	3	29	1	15	5	18	30	1	0	15	1	3	1	1	4	4	5	5	3
168	1	1	2	2	4	4	30	7	18	7	17	40	7	6	13	1	1	3	2	4	4	5	3	5
169	2	2	2	2	2	3	23	2	17	6	20	60	2	13	15	1	1	1	1	4	4	1	5	3
170	1	1	1	2	4	3	22	2	12	5	16	5	2	4	16	9	2	3	2	5	9	5	1	4
171	2	1	3	2	3	4	21	3	15	6	18	20	1	2	12	2	2	1	1	4	2	4	4	2
172	2	1	1	2	3	3	25	2	13	5	21	30	1	24	13	1	2	2	1	3	4	3	3	3
173	2	2	1	1	2	2	30	1	14	7	17	70	3	7	15	9	3	1	1	2	3	2	4	3
174	1	1	3	2	2	2	25	4	20	6	16	10	4	5	17	2	2	3	1	4	2	2	4	5
175	2	1	1	2	3	3	11	3	13	7	17	55	0	13	18	1	2	2	1	3	4	3	3	1
